house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
7098,2,APARTMENT,APARTMENT,Knokke-Zoute,8300,Zwinlaan,12,0,0,,1395000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,,77,,
7101,3,APARTMENT,APARTMENT,Oostende,8400,Zeedijk,100,02.01,0,,1550000,0,1,,0,0,AS_NEW,0,0,0,,178,,
7100,3,APARTMENT,APARTMENT,Uccle,1180,Avenue de Messidor,196,,1,3,1455000,0,1,,0,0,AS_NEW,0,0,0,,279,,
7102,3,APARTMENT,APARTMENT,Knokke,8300,Sylvain Dupuisstraat,1,72,0,,1875000,0,0,0,0,0,AS_NEW,0,0,0,,95,,
7099,3,APARTMENT,APARTMENT,Oostende,8400,Zeedijk,100,03.02,1,,1450000,0,1,,0,0,GOOD,0,0,0,,186,,
7103,2,APARTMENT,APARTMENT,Nieuwpoort,8620,Paul Orbanpromenade,4,0801,0,,2700000,0,1,,0,0,GOOD,0,0,0,,293,,
7104,3,APARTMENT,APARTMENT,Knokke-Zoute,8300,Bronlaan,115,2,0,,2975000,0,1,37,0,0,AS_NEW,0,0,1,,125,,
7105,3,APARTMENT,APARTMENT,Knokke-Heist,8300,Elizabetlaan,158,,0,,2995000,0,1,,0,0,AS_NEW,0,0,0,,158,,
7106,4,APARTMENT,APARTMENT,Knokke-Zoute,8300,Kustlaan,168,,1,3,4200000,0,1,,0,0,GOOD,0,0,0,,246,,
7107,4,APARTMENT,APARTMENT,Knokke-Zoute,8300,Kustlaan,168,2,0,,4200000,0,1,,0,0,GOOD,0,0,0,,254,,
7108,1,APARTMENT,GROUND_FLOOR,Borgerhout,2140,Apollostraat,31,0,1,,245000,0,1,95,0,0,TO_RENOVATE,1,95,0,,77,,
7110,3,HOUSE,VILLA,De Panne,8660,Zeekruisdoornweg,3,,0,4,475000,0,1,15,0,0,GOOD,0,0,0,281,111,281,
7109,1,APARTMENT,GROUND_FLOOR,Berchem (2600),2600,Apollostraat,31,0,1,,245000,0,1,95,0,0,TO_RENOVATE,1,95,0,,77,,
7111,4,HOUSE,HOUSE,Chaudfontaine,4050,Rue Théo Renville,5,,0,4,479000,0,1,65,0,0,GOOD,1,885,0,1065,182,1065,
7112,2,HOUSE,HOUSE,Edegem,2650,Strijdersstraat,11,,0,2,495000,0,1,,0,0,GOOD,0,0,0,311,240,311,
7116,5,HOUSE,HOUSE,TIHANGE,4500,Au Thier Detru,3,,1,4,625000,0,1,,0,0,GOOD,0,0,1,2156,200,2156,
7114,4,HOUSE,HOUSE,Bredene,8450,Noord-Edestraat,108,,0,4,519000,0,0,0,0,0,AS_NEW,0,0,0,495,195,495,
7115,4,HOUSE,HOUSE,Roeselare,8800,Sint-Sebastiaansstraat,38,,0,4,548000,0,1,,0,0,AS_NEW,0,0,0,663,265,663,
7113,5,HOUSE,VILLA,Antoing,7640,,,,1,4,499000,0,1,,0,0,GOOD,1,1170,0,1170,400,1170,
7117,4,HOUSE,HOUSE,Herchies,7050,Rue de Baudour,60,,0,3,630000,0,1,32,0,0,GOOD,1,2820,0,3758,940,3758,
7118,4,HOUSE,VILLA,Brugge,8310,Vooruitgangstraat,15,,0,4,645000,0,0,0,0,0,TO_RENOVATE,0,0,0,2840,313,2840,
7120,6,HOUSE,HOUSE,Bruxelles,1000,Rue des Fabriques,15,,0,2,675000,0,1,17,0,0,TO_RENOVATE,0,0,0,136,365,136,
7119,3,HOUSE,HOUSE,Turnhout,2300,Kasteelplein,5,,0,2,665000,0,1,,0,0,GOOD,0,0,0,150,420,150,
7121,6,HOUSE,VILLA,Geetbets,3454,Kraaistraat,9 B,,0,4,699000,0,1,,0,0,AS_NEW,0,0,0,1904,426,1904,
7125,4,HOUSE,HOUSE,Pepingen,1670,Ninoofsesteenweg,20,,0,4,775000,0,1,,0,0,AS_NEW,0,0,0,1131,302,1131,
7124,8,HOUSE,VILLA,Sint-Idesbald,8670,Vlierweg,4,,1,4,765000,0,1,,0,0,GOOD,0,0,0,1016,285,1016,
7122,4,HOUSE,MIXED_USE_BUILDING,Mechelen,2800,Stationsstraat,28,,1,2,749000,0,1,49,0,0,GOOD,0,0,0,168,386,168,
7123,3,HOUSE,VILLA,Roeselare,8800,Hellestraat,40,,0,4,750000,0,1,,0,0,GOOD,0,0,0,2525,276,2525,
